timestamp,cpuTemp,fan1speed,fan2speed
1551371627.205556,38.44,2168,1998
1551371627.505727,38.44,2168,1998
1551371627.810535,38.38,2168,1998
1551371628.11076,38.38,2167,2000
1551371628.4063349,38.38,2153,2012
1551371628.80625,37.56,2151,2011
1551371629.108787,37.56,2151,2003
1551371629.508352,37.56,2153,1997
1551371629.8056588,37.94,2161,1997
1551371630.1107578,37.94,2163,1997
1551371630.506807,37.94,2163,1997
1551371630.805961,39.31,2163,1997
1551371631.205951,39.31,2155,1998
1551371631.5095081,39.31,2153,1996
1551371631.805933,38.56,2155,1996
1551371632.205747,38.56,2164,1998
1551371632.5090659,38.56,2164,1997
1551371632.8070269,38.75,2165,1996
1551371633.2057831,38.75,2164,1999
1551371633.506638,38.75,2156,2012
1551371633.810666,40.0,2154,2012
1551371634.10591,40.0,2153,2010
1551371634.406177,40.0,2153,2002
1551371634.706805,40.0,2162,1997
1551371635.006216,40.13,2165,1998
1551371635.3090482,40.13,2167,1998
1551371635.605653,40.13,2168,1997
1551371636.007622,40.31,2164,1998
1551371636.310771,40.31,2156,1998
1551371636.610809,40.31,2153,1997
1551371636.908051,39.56,2153,1998
1551371637.206984,39.56,2154,1998
1551371637.506763,39.56,2153,1997
1551371637.80737,39.56,2155,1998
1551371638.108234,39.69,2162,1998
1551371638.4067042,39.69,2163,1998
1551371638.705995,39.69,2163,2000
1551371639.00756,39.88,2164,1999
1551371639.307882,39.88,2165,1999
1551371639.609657,39.88,2166,1998
1551371639.91078,41.13,2158,1998
1551371640.209693,41.13,2153,1997
1551371640.5070772,41.13,2153,2000
1551371640.8061922,41.13,2155,2008
1551371641.1085901,41.38,2161,2012
1551371641.408483,41.38,2163,2012
1551371641.708514,41.38,2164,2002
1551371642.006357,40.56,2164,1998
1551371642.309417,40.56,2164,1998
1551371642.609313,40.56,2163,1998
1551371642.905758,40.56,2156,1997
1551371643.210788,40.81,2153,1997
1551371643.509089,40.81,2154,1996
1551371643.8055968,40.81,2156,1996
1551371644.110471,40.88,2162,1995
1551371644.5056388,40.88,2165,1996
1551371644.805738,40.88,2165,1995
1551371645.1059358,42.0,2164,1995
1551371645.406993,42.0,2162,1998
1551371645.710749,42.0,2155,2007
1551371646.008904,42.19,2152,2012
1551371646.309819,42.19,2152,2010
1551371646.609843,42.19,2155,2003
1551371646.9089,42.19,2162,1999
1551371647.2102048,42.31,2167,1998
1551371647.5107489,42.31,2168,1997
1551371647.806643,42.31,2168,1998
1551371648.1102998,42.38,2168,1997
1551371648.410769,42.38,2155,1997
1551371648.708126,42.38,2154,1997
1551371649.007488,42.38,2154,1997
1551371649.3095858,41.56,2154,1997
1551371649.6098938,41.56,2154,1997
1551371649.908931,41.56,2154,1998
1551371650.206155,41.63,2156,1996
1551371650.5059588,41.63,2163,1998
1551371650.810789,41.63,2164,1996
1551371651.106111,41.63,2165,1997
1551371651.406826,41.81,2167,2000
1551371651.705838,41.81,2166,2010
1551371652.0107598,41.81,2158,2010
1551371652.307735,41.94,2154,2004
1551371652.6062899,41.94,2153,2001
1551371652.907849,41.94,2154,2001
1551371653.205782,43.0,2154,2002
1551371653.5086899,43.0,2155,2001
1551371653.806429,43.0,2162,2000
1551371654.1062772,43.0,2163,1997
1551371654.410771,43.19,2163,1998
1551371654.7058198,43.19,2163,1997
1551371655.010299,43.19,2163,1997
1551371655.310678,43.25,2162,1998
1551371655.6095119,43.25,2156,1998
1551371655.906284,43.25,2154,1998
1551371656.208087,43.25,2155,1997
1551371656.509121,43.38,2162,1997
1551371656.810754,43.38,2165,1996
1551371657.105771,43.38,2166,1996
1551371657.410763,42.56,2167,1996
1551371657.710696,42.56,2166,1996
